agent_id,round,is_speaking,belief,public_belief,created_at,source_id,target_id,influence_value
23ca3654-617b-4e3a-8814-557dc98e7ac7,0,True,0,0,2024-01-01T00:00:00,23ca3654-617b-4e3a-8814-557dc98e7ac7,23ca3654-617b-4e3a-8814-557dc98e7ac7,0.0
5b05cb94-3084-4db4-ae02-3194c40bcf71,0,True,0.25,0.25,2024-01-01T00:00:00,5b05cb94-3084-4db4-ae02-3194c40bcf71,5b05cb94-3084-4db4-ae02-3194c40bcf71,0.0
e43f5b52-dbe6-4cc4-82cb-7e66a870bac2,0,True,0.5,0.5,2024-01-01T00:00:00,e43f5b52-dbe6-4cc4-82cb-7e66a870bac2,e43f5b52-dbe6-4cc4-82cb-7e66a870bac2,0.0
b6117030-1ec4-4776-99a2-be8230c7725a,0,True,0.75,0.75,2024-01-01T00:00:00,b6117030-1ec4-4776-99a2-be8230c7725a,b6117030-1ec4-4776-99a2-be8230c7725a,0.0
f54d2f1e-06dc-4574-92e6-2abea6b5ed84,0,True,1,1,2024-01-01T00:00:00,f54d2f1e-06dc-4574-92e6-2abea6b5ed84,f54d2f1e-06dc-4574-92e6-2abea6b5ed84,0.0
8e4fc6f5-7fa9-4c07-a52d-f0950123c8cb,0,True,0.9998417,0.0123293,2024-01-01T00:00:00,8e4fc6f5-7fa9-4c07-a52d-f0950123c8cb,f54d2f1e-06dc-4574-92e6-2abea6b5ed84,1.0
faa4e722-1567-4445-aa38-e5bc528427bd,0,True,0.7507197,0,2024-01-01T00:00:00,faa4e722-1567-4445-aa38-e5bc528427bd,b6117030-1ec4-4776-99a2-be8230c7725a,1.0
5ee0b772-ac4b-45e6-b546-0e3022d8a67d,0,True,0,1,2024-01-01T00:00:00,5ee0b772-ac4b-45e6-b546-0e3022d8a67d,23ca3654-617b-4e3a-8814-557dc98e7ac7,1.0
83aa2029-eab2-4d1d-b648-0b6e1defef03,0,True,0.9792746,0.7008008,2024-01-01T00:00:00,83aa2029-eab2-4d1d-b648-0b6e1defef03,f54d2f1e-06dc-4574-92e6-2abea6b5ed84,1.0
683f42d6-edbc-42e6-97a1-4a3f066dc5be,0,True,0.0427278,1,2024-01-01T00:00:00,683f42d6-edbc-42e6-97a1-4a3f066dc5be,23ca3654-617b-4e3a-8814-557dc98e7ac7,1.0
3e09a366-b69b-41c4-a18c-0ce0a5ac6e4b,0,True,0.2076853,0.2071143,2024-01-01T00:00:00,3e09a366-b69b-41c4-a18c-0ce0a5ac6e4b,5b05cb94-3084-4db4-ae02-3194c40bcf71,1.0
9ee71e7b-183d-4994-942c-3f013fc2fb9a,0,True,0.7339756,0.9960471,2024-01-01T00:00:00,9ee71e7b-183d-4994-942c-3f013fc2fb9a,b6117030-1ec4-4776-99a2-be8230c7725a,1.0
2aafbb42-66e2-42dc-83c0-e4601dcf2d43,0,True,1,0.2430869,2024-01-01T00:00:00,2aafbb42-66e2-42dc-83c0-e4601dcf2d43,f54d2f1e-06dc-4574-92e6-2abea6b5ed84,1.0
2b1f6e43-19f1-4ce6-a8aa-0c2daeb38148,0,True,0.9923306,0.9547592,2024-01-01T00:00:00,2b1f6e43-19f1-4ce6-a8aa-0c2daeb38148,f54d2f1e-06dc-4574-92e6-2abea6b5ed84,1.0
d0ad99e0-e7e9-403d-a4a0-4a6cebc2640c,0,True,0.9841544,0.024263,2024-01-01T00:00:00,d0ad99e0-e7e9-403d-a4a0-4a6cebc2640c,f54d2f1e-06dc-4574-92e6-2abea6b5ed84,1.0
c3152a04-064c-4543-a559-f39f98a1aaa7,0,True,0.0178778,0.014602,2024-01-01T00:00:00,c3152a04-064c-4543-a559-f39f98a1aaa7,23ca3654-617b-4e3a-8814-557dc98e7ac7,1.0
355dd6b8-a733-4bd2-9982-4729c30df15d,0,True,1,0,2024-01-01T00:00:00,355dd6b8-a733-4bd2-9982-4729c30df15d,f54d2f1e-06dc-4574-92e6-2abea6b5ed84,1.0
