agent_id,round,is_speaking,belief,public_belief,created_at,source_id,target_id,influence_value
b40bb619-b555-49d5-b743-c09bf2e18748,0,False,0.7948086,0.9830042,2024-01-01T00:00:00,b40bb619-b555-49d5-b743-c09bf2e18748,5a47729b-d65d-48c1-8ff9-4e36a8712a29,0.4104492
c10cd7a8-82d9-4f6c-a0bf-21c8f931ae37,0,True,-0.0293049,0.2803082,2024-01-01T00:00:00,c10cd7a8-82d9-4f6c-a0bf-21c8f931ae37,28312459-a60e-40a9-9a12-fc62ca46bb7c,0.3348292
46c403b2-756d-4361-beeb-40e0a0b6b5f5,0,False,0.9960249,1.0493935,2024-01-01T00:00:00,46c403b2-756d-4361-beeb-40e0a0b6b5f5,6ac12096-8468-4ab0-a9f5-e692dc5ba8d6,0.2534078
f9759cfb-2c6e-42c0-9ec7-229c121e4597,0,True,0.7271476,0.2278638,2024-01-01T00:00:00,f9759cfb-2c6e-42c0-9ec7-229c121e4597,1524457d-5f0f-4b56-ae29-f87bd27fbe68,0.6593167
d3782262-5b5e-4f4f-b626-a270d2f4691f,0,True,-0.0417878,0.9818321,2024-01-01T00:00:00,d3782262-5b5e-4f4f-b626-a270d2f4691f,0987eecb-ce01-424d-a905-4dfbfa87cff6,0.3504631
42dc3bbd-ed6b-43b2-a898-0f16570b5e16,0,True,0.0317053,0.9503343,2024-01-01T00:00:00,42dc3bbd-ed6b-43b2-a898-0f16570b5e16,da29d881-f67c-46bd-852b-28ea97ecfa62,0.9550478
feb6a9d6-af4d-4e07-81f3-5b4f85ed41c8,0,False,0.2811477,0.2473849,2024-01-01T00:00:00,feb6a9d6-af4d-4e07-81f3-5b4f85ed41c8,a2e9357c-d71c-4504-aa94-24b60e0a59c7,0.9002046
c155391c-6fa9-417a-b732-b210a354ad08,0,False,-0.0319268,0.7463784,2024-01-01T00:00:00,c155391c-6fa9-417a-b732-b210a354ad08,b8c4fd3d-5136-4367-a6f5-f115d6913818,0.9796578
ff55475e-c26e-4cae-8961-6ea576f4011d,0,False,-0.0230999,0.0204504,2024-01-01T00:00:00,ff55475e-c26e-4cae-8961-6ea576f4011d,0987eecb-ce01-424d-a905-4dfbfa87cff6,0.983067
fe332c3b-48e0-435b-b625-1462c66a1c6b,0,True,0.0378427,0.7049491,2024-01-01T00:00:00,fe332c3b-48e0-435b-b625-1462c66a1c6b,b2d97a55-02f2-4761-bed1-663cf3013da0,0.9120339
983c55e4-43bc-4c51-89b4-5dfd63c559a2,0,False,0.7436885,1.0451607,2024-01-01T00:00:00,983c55e4-43bc-4c51-89b4-5dfd63c559a2,f9db5500-cd5c-4471-ac8f-779bd8d1b9ce,0.4440901
cf136887-4045-40de-b668-5eef5c823899,0,True,0.0268162,-0.0490045,2024-01-01T00:00:00,cf136887-4045-40de-b668-5eef5c823899,f34363a9-61ea-4031-b429-7e77f35632a4,0.1605383
30b3d76f-6793-4e57-a10e-3d2ab3641baa,0,True,0.0151504,0.9663567,2024-01-01T00:00:00,30b3d76f-6793-4e57-a10e-3d2ab3641baa,8689c809-fd14-49ec-8dce-0df73f3f4f8f,0.324129
c74dea01-3183-44d3-ab45-cc282d2cdba5,0,True,-0.0294928,-0.0275681,2024-01-01T00:00:00,c74dea01-3183-44d3-ab45-cc282d2cdba5,4f2c15a0-fea2-4976-8d5a-f0cb1f0da202,0.6755229
080ec7de-7c8f-40c3-91c1-780d8cfbfc79,0,True,0.7535128,0.7007131,2024-01-01T00:00:00,080ec7de-7c8f-40c3-91c1-780d8cfbfc79,c3fb22a5-f693-4bdc-976e-2eee80a037e7,0.0068486
b35e5bc5-5662-4850-a39c-a77567c612e5,0,False,0.7011137,0.2943116,2024-01-01T00:00:00,b35e5bc5-5662-4850-a39c-a77567c612e5,d4f3879d-6704-4cca-b21d-0be81c337b6e,0.3799355
0dfa20ec-3506-4535-817c-e9f1e10a4194,0,True,1.0399202,1.0189856,2024-01-01T00:00:00,0dfa20ec-3506-4535-817c-e9f1e10a4194,ff55475e-c26e-4cae-8961-6ea576f4011d,0.4057645
068a8a3d-0841-47c2-b2ad-402d62e6e860,0,True,0.9758032,0.9503178,2024-01-01T00:00:00,068a8a3d-0841-47c2-b2ad-402d62e6e860,2ab0e4a8-d6e6-4875-8bab-3dbcf58734fd,0.5849268
d487a1f0-f437-4536-90dc-8b7b49362b1a,0,False,1.0313124,0.2334371,2024-01-01T00:00:00,d487a1f0-f437-4536-90dc-8b7b49362b1a,feb6a9d6-af4d-4e07-81f3-5b4f85ed41c8,0.3256708
